source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
5eff4c6a6d576ae5d96d109e,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.2,187539484810966.1,187.5394848109661,516,287.1311311777681,80.0,-2.0
5eff4c6a6d576ae5d96d109e,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.4,147140856123668.7,147.1408561236687,516,179.66603755997494,80.0,-2.0
5eff4c6a6d576ae5d96d109e,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.6,122575967282430.6,122.5759672824306,516,182.47670667385682,80.0,-2.0
5eff4c6a6d576ae5d96d109e,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.8,106613604270926.33,106.61360427092633,516,181.31975440587848,80.0,-2.0
5eff4c6a6d576ae5d96d109e,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,1.0,92542329986893.78,92.54232998689378,516,186.16179788997397,80.0,-2.0
5fbf7fec8edce4c6d313f2e0,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.2,187539484810966.1,187.5394848109661,516,186.823410785757,80.0,-2.0
5fbf7fec8edce4c6d313f2e0,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.4,147140856123668.7,147.1408561236687,516,189.17608786234632,80.0,-2.0
5fbf7fec8edce4c6d313f2e0,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.6,122575967282430.6,122.5759672824306,516,191.95688624074683,80.0,-2.0
5fbf7fec8edce4c6d313f2e0,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.8,106613604270926.33,106.61360427092633,516,196.51048431405798,80.0,-2.0
5fbf7fec8edce4c6d313f2e0,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,1.0,92542329986893.78,92.54232998689378,516,195.78122403798625,80.0,-2.0
5fbf809aedc2f6461badeb2d,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.2,187539484810966.1,187.5394848109661,516,198.8656116956845,80.0,-2.0
5fbf809aedc2f6461badeb2d,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.4,147140856123668.7,147.1408561236687,516,192.06341772899032,80.0,-2.0
5fbf809aedc2f6461badeb2d,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.6,122575967282430.6,122.5759672824306,516,203.0197070930153,80.0,-2.0
5fbf809aedc2f6461badeb2d,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,0.8,106613604270926.33,106.61360427092633,516,201.73599319998175,80.0,-2.0
5fbf809aedc2f6461badeb2d,nobel-eu,C,C,kSP-FF,kSP-FF C RWA,1.0,92542329986893.78,92.54232998689378,516,193.99946653097868,80.0,-2.0
