swept_band,power_dBm,capacity_Tbps,snr_target_dB,nspans,span_km,band_selection
O,-6.0,470.799014166528,12.443004608154297,1,80.0,OESCL
O,-5.5,472.820937129984,12.80605411529541,1,80.0,OESCL
O,-5.0,468.991269142528,13.127824783325195,1,80.0,OESCL
O,-4.5,482.161484365824,13.492218971252441,1,80.0,OESCL
O,-4.0,484.794433536,13.798523902893066,1,80.0,OESCL
O,-3.5,481.138543951872,14.046253204345703,1,80.0,OESCL
O,-3.0,405.486990000128,13.341796875,1,80.0,OESCL
O,-2.5,323.51102959616,-20.19244956970215,1,80.0,OESCL
O,-2.0,483.594627710976,13.5962495803833,1,80.0,OESCL
O,-1.5,332.709910020096,-20.368432998657227,1,80.0,OESCL
O,-1.0,47.543484416,-27.348403930664062,1,80.0,OESCL
O,-0.5,281.412531912704,-11.221217155456543,1,80.0,OESCL
O,0.0,347.959258513408,-4.6778154373168945,1,80.0,OESCL
O,0.5,428.162471165952,7.007542133331299,1,80.0,OESCL
O,1.0,473.74630125568,11.750859260559082,1,80.0,OESCL
O,1.5,314.571155832832,-20.76518440246582,1,80.0,OESCL
O,2.0,393.2587819008,4.518732070922852,1,80.0,OESCL
O,2.5,0.208267231232,-27.92844581604004,1,80.0,OESCL
O,3.0,0.00631780352,-42.88256072998047,1,80.0,OESCL
O,3.5,81.5842459648,-52.73420333862305,1,80.0,OESCL
O,4.0,86.33337249792,-53.397647857666016,1,80.0,OESCL
E,-6.0,490.565359632384,15.921419143676758,1,80.0,OESCL
E,-5.5,480.141306232832,16.111705780029297,1,80.0,OESCL
E,-5.0,349.783881416704,14.654109954833984,1,80.0,OESCL
E,-4.5,379.9175397376,16.19584083557129,1,80.0,OESCL
E,-4.0,433.369447923712,16.569677352905273,1,80.0,OESCL
E,-3.5,369.579721228288,16.402341842651367,1,80.0,OESCL
E,-3.0,480.70448381952,16.884174346923828,1,80.0,OESCL
E,-2.5,484.176797106176,16.968446731567383,1,80.0,OESCL
E,-2.0,483.594627710976,17.083232879638672,1,80.0,OESCL
E,-1.5,157.115893153792,4.987992286682129,1,80.0,OESCL
E,-1.0,450.9866655744,16.223342895507812,1,80.0,OESCL
E,-0.5,492.279353573376,17.30232048034668,1,80.0,OESCL
E,0.0,495.03054856192,17.393028259277344,1,80.0,OESCL
E,0.5,494.874084245504,17.433752059936523,1,80.0,OESCL
E,1.0,493.92996319232,17.459209442138672,1,80.0,OESCL
E,1.5,492.704622444544,17.498432159423828,1,80.0,OESCL
E,2.0,493.170022416384,17.559694290161133,1,80.0,OESCL
E,2.5,492.351361384448,17.588274002075195,1,80.0,OESCL
E,3.0,490.55673614336,17.535795211791992,1,80.0,OESCL
E,3.5,489.27428575232,17.63126564025879,1,80.0,OESCL
E,4.0,488.528404283392,17.627105712890625,1,80.0,OESCL
S,-6.0,386.258958286848,17.123397827148438,1,80.0,OESCL
S,-5.5,350.586469875712,16.639362335205078,1,80.0,OESCL
S,-5.0,443.031043964928,17.499807357788086,1,80.0,OESCL
S,-4.5,204.861433970688,8.294648170471191,1,80.0,OESCL
S,-4.0,0.164017864704,-28.670930862426758,1,80.0,OESCL
S,-3.5,0.193101561856,-29.506380081176758,1,80.0,OESCL
S,-3.0,356.768739753984,18.103599548339844,1,80.0,OESCL
S,-2.5,480.4675895296,18.333911895751953,1,80.0,OESCL
S,-2.0,483.594627710976,18.451732635498047,1,80.0,OESCL
S,-1.5,491.094143926272,18.55063247680664,1,80.0,OESCL
S,-1.0,492.726969696256,18.464027404785156,1,80.0,OESCL
S,-0.5,361.668223696896,17.038854598999023,1,80.0,OESCL
S,0.0,40.821290172416,-1.9099253416061401,1,80.0,OESCL
S,0.5,423.672082857984,18.287214279174805,1,80.0,OESCL
S,1.0,477.633179549696,17.96599578857422,1,80.0,OESCL
S,1.5,394.743196418048,9.709796905517578,1,80.0,OESCL
S,2.0,483.762567643136,17.506343841552734,1,80.0,OESCL
S,2.5,483.885645299712,17.622535705566406,1,80.0,OESCL
S,3.0,461.890379579392,15.209037780761719,1,80.0,OESCL
S,3.5,472.28433465344,16.46999740600586,1,80.0,OESCL
S,4.0,396.690158780416,10.016670227050781,1,80.0,OESCL
C,-6.0,402.940611264512,19.996776580810547,1,80.0,OESCL
C,-5.5,350.214451888128,19.786670684814453,1,80.0,OESCL
C,-5.0,375.856044179456,20.254493713378906,1,80.0,OESCL
C,-4.5,445.6137621504,21.962207794189453,1,80.0,OESCL
C,-4.0,472.024388468736,22.218690872192383,1,80.0,OESCL
C,-3.5,476.331972231168,22.337358474731445,1,80.0,OESCL
C,-3.0,486.36578758656,22.436737060546875,1,80.0,OESCL
C,-2.5,492.164597415936,22.479860305786133,1,80.0,OESCL
C,-2.0,483.594627710976,22.525917053222656,1,80.0,OESCL
C,-1.5,491.55347054592,22.53304100036621,1,80.0,OESCL
C,-1.0,420.795528511488,22.2009334564209,1,80.0,OESCL
C,-0.5,471.991136026624,22.532875061035156,1,80.0,OESCL
C,0.0,469.64561412096,22.54087257385254,1,80.0,OESCL
C,0.5,448.714594320384,22.348745346069336,1,80.0,OESCL
C,1.0,345.666148630528,19.72243309020996,1,80.0,OESCL
C,1.5,480.255659737088,22.472742080688477,1,80.0,OESCL
C,2.0,131.937544962048,8.38138484954834,1,80.0,OESCL
C,2.5,0.766181113856,-18.747894287109375,1,80.0,OESCL
C,3.0,480.843936038912,22.035512924194336,1,80.0,OESCL
C,3.5,463.592461697024,21.81797218322754,1,80.0,OESCL
C,4.0,471.916208979968,21.530628204345703,1,80.0,OESCL
L,-6.0,424.223583502336,20.837806701660156,1,80.0,OESCL
L,-5.5,82.628577329152,3.460219144821167,1,80.0,OESCL
L,-5.0,384.024367333376,18.73172378540039,1,80.0,OESCL
L,-4.5,360.953715621888,17.652917861938477,1,80.0,OESCL
L,-4.0,290.99426840576,14.3158597946167,1,80.0,OESCL
L,-3.5,484.437213052928,21.36722755432129,1,80.0,OESCL
L,-3.0,479.433307717632,21.362947463989258,1,80.0,OESCL
L,-2.5,489.711567110144,21.472759246826172,1,80.0,OESCL
L,-2.0,483.594627710976,21.50828742980957,1,80.0,OESCL
L,-1.5,492.51631497216,21.534507751464844,1,80.0,OESCL
L,-1.0,459.528919318528,21.304521560668945,1,80.0,OESCL
L,-0.5,472.782013988864,21.092681884765625,1,80.0,OESCL
L,0.0,488.02102771712,20.903087615966797,1,80.0,OESCL
L,0.5,458.614225502208,20.925434112548828,1,80.0,OESCL
L,1.0,427.203082846208,20.673734664916992,1,80.0,OESCL
L,1.5,429.216248102912,20.944692611694336,1,80.0,OESCL
L,2.0,398.163366117376,20.760879516601562,1,80.0,OESCL
L,2.5,472.636689743872,21.26204490661621,1,80.0,OESCL
L,3.0,184.045707198464,12.894084930419922,1,80.0,OESCL
L,3.5,178.426346471424,13.28883171081543,1,80.0,OESCL
L,4.0,466.98155999232,20.779436111450195,1,80.0,OESCL
