iter,gbest_fit_Tbps,swarm_mean_Tbps,swarm_std_x,w,snr_metric,gbest_O_dBm,gbest_E_dBm,gbest_S_dBm,gbest_C_dBm,gbest_L_dBm,gbest_O_SNR_dB,gbest_E_SNR_dB,gbest_S_SNR_dB,gbest_C_SNR_dB,gbest_L_SNR_dB
0,1318.313259927698,1115.5716001613343,1.8829597021508715,0.9,mean_linear_dB,0.465103217153775,-1.7875895712316203,-1.0188116283297437,-4.021421013106398,-4.198289485248186,-1.4667187825271675,3.973734960117255,6.739814226404506,10.825087121912746,12.805919689818278
1,1352.021288103535,1217.6627708837564,1.304942827401137,0.9,mean_linear_dB,-2.533815281007821,-1.0824315812548662,-2.070384700376051,-3.2362296764100384,-3.7872928986224954,-0.5753201218584061,4.139167202395104,7.091933085944952,10.928092272670105,12.847208454658068
2,1389.3497600666933,1289.164083903902,0.8125329847245087,0.8827586206896552,mean_linear_dB,-1.2979532120423038,-1.9269439844981375,-2.2411796283930583,-4.033694622361302,-4.579902022071991,-0.3601558019139762,4.557899227573137,7.422758936237649,11.269990560990525,12.951433768372775
3,1389.3497600666933,1331.3777027137805,0.9145619497047223,0.8655172413793104,mean_linear_dB,-1.2979532120423038,-1.9269439844981375,-2.2411796283930583,-4.033694622361302,-4.579902022071991,-0.3601558019139762,4.557899227573137,7.422758936237649,11.269990560990525,12.951433768372775
4,1389.3497600666933,1359.9430989314274,0.868647914389258,0.8482758620689655,mean_linear_dB,-1.2979532120423038,-1.9269439844981375,-2.2411796283930583,-4.033694622361302,-4.579902022071991,-0.3601558019139762,4.557899227573137,7.422758936237649,11.269990560990525,12.951433768372775
5,1396.0215809805275,1375.6859600179403,0.7020702760644553,0.8310344827586207,mean_linear_dB,-0.9882387089933439,-2.7177039539889605,-3.0362238556255496,-4.1064620639999045,-4.889072655014192,-0.4800395887376002,4.77264776649872,7.532422740279433,11.415238982025265,12.881578790443628
6,1396.0215809805275,1375.8065512786752,0.6353406331440163,0.8137931034482759,mean_linear_dB,-0.9882387089933439,-2.7177039539889605,-3.0362238556255496,-4.1064620639999045,-4.889072655014192,-0.4800395887376002,4.77264776649872,7.532422740279433,11.415238982025265,12.881578790443628
7,1397.115098641887,1383.9306137187946,0.5100512409857526,0.7965517241379311,mean_linear_dB,-1.3031029822617815,-2.968801406464193,-2.3183799096986952,-3.905771781986339,-4.457924859237938,-0.27241786322710826,4.6392165308929885,7.452002011065528,11.308765932659952,12.972338100112907
8,1398.5823197119332,1383.6293912205394,0.6053006654638408,0.7793103448275862,mean_linear_dB,-1.943268203530379,-2.235396285046807,-2.3856747927814195,-4.3581766878465,-4.6685004280782145,-0.4847624278956768,4.721003527053299,7.545932033850678,11.381355548124667,12.975636441575965
9,1398.5823197119332,1383.5157293152538,0.509382998231653,0.7620689655172415,mean_linear_dB,-1.943268203530379,-2.235396285046807,-2.3856747927814195,-4.3581766878465,-4.6685004280782145,-0.4847624278956768,4.721003527053299,7.545932033850678,11.381355548124667,12.975636441575965
10,1399.639898488757,1383.7297520750813,0.4909115982080626,0.7448275862068966,mean_linear_dB,-1.4129495534749572,-2.3610787328008556,-2.2814569161620044,-4.718548286433489,-4.658112296057086,-0.3143913469952938,4.700688342115572,7.554082580809674,11.31214958673054,12.961373868326245
11,1401.530343728555,1387.504604465249,0.48344215353159414,0.7275862068965517,mean_linear_dB,-1.5222464804260716,-2.5994717501085622,-2.198494166129744,-4.890153876745433,-4.616154301871025,-0.3023832915179011,4.730779794295453,7.5726901848103125,11.28419159933814,12.976059038102932
12,1401.530343728555,1392.6055706725406,0.3636465257744931,0.710344827586207,mean_linear_dB,-1.5222464804260716,-2.5994717501085622,-2.198494166129744,-4.890153876745433,-4.616154301871025,-0.3023832915179011,4.730779794295453,7.5726901848103125,11.28419159933814,12.976059038102932
13,1402.5273481145111,1392.2648220123167,0.40210709176098786,0.6931034482758621,mean_linear_dB,-1.6586928260022915,-2.599286920856158,-2.2411625273791085,-4.760320846104585,-4.517240501044336,-0.27787956760654703,4.7489870426463225,7.5555458008826735,11.302415809769922,12.985179749467001
14,1402.5273481145111,1393.4438880647037,0.3644222213816799,0.6758620689655173,mean_linear_dB,-1.6586928260022915,-2.599286920856158,-2.2411625273791085,-4.760320846104585,-4.517240501044336,-0.27787956760654703,4.7489870426463225,7.5555458008826735,11.302415809769922,12.985179749467001
15,1402.6095938997553,1395.8100825354393,0.27988599688908494,0.6586206896551724,mean_linear_dB,-1.630894130209355,-2.6268612415652086,-2.2454133536021494,-4.760514408201252,-4.535889824549824,-0.2793037749289754,4.747579655731383,7.559641961821612,11.304143435312909,12.983454404909123
16,1402.6095938997553,1396.4017668179645,0.2621769712045531,0.6413793103448275,mean_linear_dB,-1.630894130209355,-2.6268612415652086,-2.2454133536021494,-4.760514408201252,-4.535889824549824,-0.2793037749289754,4.747579655731383,7.559641961821612,11.304143435312909,12.983454404909123
