nfev,cost,capacity_Tbps,time_s,P_O_dBm,P_E_dBm,P_S_dBm,P_C_dBm,P_L_dBm
1,-950.3791468043436,950.3791468043436,761.7539474910591,0.0,0.0,0.0,0.0,0.0
2,-942.1051435647184,942.1051435647184,791.1035124789923,0.2,0.0,0.0,0.0,0.0
3,-942.4737699167101,942.4737699167101,849.3319811720867,0.0,0.2,0.0,0.0,0.0
4,-945.1326353955296,945.1326353955296,895.6388577589532,0.0,0.0,0.2,0.0,0.0
5,-942.3586407098446,942.3586407098446,934.8512126839487,0.0,0.0,0.0,0.2,0.0
6,-937.7707624590441,937.7707624590441,920.362722528982,0.0,0.0,0.0,0.0,0.2
7,-1255.0705986906673,1255.0705986906673,929.4381718740333,-6.0,-6.0,-6.0,-6.0,-6.0
8,-1257.9420726506512,1257.9420726506512,927.8652742640115,-5.8,-6.0,-6.0,-6.0,-6.0
9,-1257.5012348710231,1257.5012348710231,927.8931938949972,-6.0,-5.8,-6.0,-6.0,-6.0
10,-1259.309980091811,1259.309980091811,921.3271939440165,-6.0,-6.0,-5.8,-6.0,-6.0
11,-1256.7716064165152,1256.7716064165152,955.6749588100938,-6.0,-6.0,-6.0,-5.8,-6.0
12,-1257.6556227643457,1257.6556227643457,934.5974603790091,-6.0,-6.0,-6.0,-6.0,-5.8
13,-1355.4294510967682,1355.4294510967682,936.9406764348969,-4.393401340421804,-4.518176742245329,-3.4708256961055017,-4.817778465308014,-5.061551757554846
14,-1353.9697215533297,1353.9697215533297,973.6198271570029,-4.193401340421804,-4.518176742245329,-3.4708256961055017,-4.817778465308014,-5.061551757554846
15,-1359.51149369222,1359.51149369222,992.5682374939788,-4.393401340421804,-4.3181767422453285,-3.4708256961055017,-4.817778465308014,-5.061551757554846
16,-1357.755018496116,1357.755018496116,996.9421653599711,-4.393401340421804,-4.518176742245329,-3.2708256961055016,-4.817778465308014,-5.061551757554846
17,-1355.652672881605,1355.652672881605,1007.0269214599393,-4.393401340421804,-4.518176742245329,-3.4708256961055017,-4.617778465308014,-5.061551757554846
18,-1355.7353789764077,1355.7353789764077,973.0432777389651,-4.393401340421804,-4.518176742245329,-3.4708256961055017,-4.817778465308014,-4.861551757554846
1,-1355.4294510967682,1355.4294510967682,1136.0625725460704,-4.393401340421804,-4.518176742245329,-3.4708256961055017,-4.817778465308014,-5.061551757554846
2,-1355.8136626305352,1355.8136626305352,1081.9749803199666,-4.293401340421805,-4.518176742245329,-3.4708256961055017,-4.817778465308014,-5.061551757554846
3,-1357.6420352065204,1357.6420352065204,1035.9466455630027,-4.393401340421804,-4.418176742245329,-3.4708256961055017,-4.817778465308014,-5.061551757554846
4,-1356.5880332404665,1356.5880332404665,1011.6550085020717,-4.393401340421804,-4.518176742245329,-3.3708256961055016,-4.817778465308014,-5.061551757554846
5,-1355.5956807689074,1355.5956807689074,993.3550963189919,-4.393401340421804,-4.518176742245329,-3.4708256961055017,-4.717778465308014,-5.061551757554846
6,-1355.6539786039557,1355.6539786039557,961.2860761689954,-4.393401340421804,-4.518176742245329,-3.4708256961055017,-4.817778465308014,-4.9615517575548465
7,-259.9749220132971,259.9749220132971,968.0394702099729,-0.5512860027514995,6.0,6.0,-3.155481743915487,-2.816276685679527
8,-258.7880179915465,258.7880179915465,969.0477847130969,-0.45128600275149955,6.0,6.0,-3.155481743915487,-2.816276685679527
9,-268.0242208435,268.0242208435,959.5420947920065,-0.5512860027514995,5.9,6.0,-3.155481743915487,-2.816276685679527
