topology,rwa_key,band_selection,swept_band,power_dBm,capacity_Tbps,default_power_dBm,span_length_km
NSFNET,kSP-FF OESCL RWA,OESCL,O,-4.0,972.1183242563258,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-3.6,976.4017016465308,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-3.2,980.0618384624527,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-2.8,982.8936856966144,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-2.4,984.6320742843285,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-2.0,985.031628251983,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-1.5999999999999996,983.7594163985935,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-1.1999999999999997,980.508648485232,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-0.7999999999999998,974.749501962725,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,-0.3999999999999999,965.3784068118911,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,0.0,950.3791472096043,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,0.40000000000000036,934.1330572914482,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,0.8000000000000007,917.7666310918248,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,1.2000000000000002,905.3665007977229,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,1.6000000000000005,901.3843327080725,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,2.0,885.0976324889405,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,2.4000000000000004,860.3592958961236,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,2.8000000000000007,836.0763138872554,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,3.2,811.8694982446495,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,3.6000000000000005,790.3378153660925,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,O,4.0,774.0597310527456,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-4.0,991.8726390588722,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-3.6,994.5776910558073,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-3.2,996.542074200625,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-2.8,997.589992753312,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-2.4,997.4908236538465,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-2.0,995.9623939310427,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-1.5999999999999996,992.5801503720456,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-1.1999999999999997,986.7783094725521,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-0.7999999999999998,977.7245391195382,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,-0.3999999999999999,965.1319287418333,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,0.0,950.3791472096043,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,0.40000000000000036,933.8410996705608,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,0.8000000000000007,914.7975471085779,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,1.2000000000000002,892.5936706828356,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,1.6000000000000005,866.7624410748622,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,2.0,836.6412505429597,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,2.4000000000000004,801.9727465530395,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,2.8000000000000007,764.5761542128404,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,3.2,724.3143067675444,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,3.6000000000000005,681.4389251660824,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,E,4.0,635.708346652195,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-4.0,1004.2373090720852,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-3.6,1008.1216982121385,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-3.2,1010.6891973313424,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-2.8,1011.3018650925608,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-2.4,1006.4369527649841,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-2.0,995.47452266667,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-1.5999999999999996,984.7619835532959,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-1.1999999999999997,976.3489110107882,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-0.7999999999999998,968.940601842033,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,-0.3999999999999999,959.9151852088006,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,0.0,950.3791472096043,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,0.40000000000000036,939.057221269432,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,0.8000000000000007,923.6071229215612,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,1.2000000000000002,902.6810893731302,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,1.6000000000000005,877.3462035594065,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,2.0,847.98149054224,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,2.4000000000000004,815.0493496172485,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,2.8000000000000007,779.4839107930802,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,3.2,741.0511463348633,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,3.6000000000000005,700.6931363096446,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,4.0,659.811702886156,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-4.0,1034.5411077232388,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-3.6,1032.2579428264946,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-3.2,1028.8880852411633,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-2.8,1024.2059878194707,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-2.4,1018.140037473984,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-2.0,1010.6487348729088,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-1.5999999999999996,1001.6018276735314,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-1.1999999999999997,991.0133460863466,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-0.7999999999999998,978.8447676187346,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-0.3999999999999999,965.3766850624671,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,0.0,950.3791472096043,0.0,80.0
