channel_index	a	a_bar	Cr
0.000000000000000000e+00	1.173504861071705818e-04	4.863381036557257175e-06	1.400000043459671638e-17
1.000000000000000000e+00	1.171722833532840014e-04	4.855617589782923460e-06	1.400000043459671638e-17
2.000000000000000000e+00	1.169961979030631483e-04	4.847890068049309775e-06	1.400000043459671638e-17
3.000000000000000000e+00	1.168208909803070128e-04	4.840163001063046977e-06	1.400000043459671638e-17
4.000000000000000000e+00	1.166473884950391948e-04	4.832475951843662187e-06	1.400000043459671638e-17
5.000000000000000000e+00	1.164788118330761790e-04	4.825126779905986041e-06	1.400000043459671638e-17
6.000000000000000000e+00	1.163117995020002127e-04	4.817781700694467872e-06	1.400000043459671638e-17
7.000000000000000000e+00	1.161466570920310915e-04	4.810438895219704136e-06	1.400000043459671638e-17
8.000000000000000000e+00	1.159837265731766820e-04	4.803198407898889855e-06	1.400000043459671638e-17
9.000000000000000000e+00	1.158259401563555002e-04	4.796214852831326425e-06	1.400000043459671638e-17
1.000000000000000000e+01	1.156692524091340601e-04	4.789233571500517428e-06	1.400000043459671638e-17
1.100000000000000000e+01	1.155143108917400241e-04	4.782254109159111977e-06	1.400000043459671638e-17
1.200000000000000000e+01	1.153630946646444499e-04	4.775431534653762355e-06	1.400000043459671638e-17
1.300000000000000000e+01	1.152156692114658654e-04	4.768789040099363774e-06	1.400000043459671638e-17
1.400000000000000000e+01	1.150693715317174792e-04	4.762152002513175830e-06	1.400000043459671638e-17
1.500000000000000000e+01	1.149251038441434503e-04	4.755514964926987886e-06	1.400000043459671638e-17
1.600000000000000000e+01	1.147854854934848845e-04	4.749067102238768712e-06	1.400000043459671638e-17
1.700000000000000000e+01	1.146484282799065113e-04	4.742725650430656970e-06	1.400000043459671638e-17
1.800000000000000000e+01	1.145135465776547790e-04	4.736388746096054092e-06	1.400000043459671638e-17
1.900000000000000000e+01	1.143805056926794350e-04	4.730055024992907420e-06	1.400000043459671638e-17
2.000000000000000000e+01	1.142523760790936649e-04	4.723928213934414089e-06	1.400000043459671638e-17
2.100000000000000000e+01	1.141270549851469696e-04	4.717855972558027133e-06	1.400000043459671638e-17
2.200000000000000000e+01	1.140040694735944271e-04	4.711787369160447270e-06	1.400000043459671638e-17
2.300000000000000000e+01	1.138833176810294390e-04	4.705721948994323611e-06	1.400000043459671638e-17
2.400000000000000000e+01	1.137675571953877807e-04	4.699881174019537866e-06	1.400000043459671638e-17
2.500000000000000000e+01	1.136538630817085505e-04	4.694054041465278715e-06	1.400000043459671638e-17
2.600000000000000000e+01	1.135417041950859129e-04	4.688231456384528428e-06	1.400000043459671638e-17
2.700000000000000000e+01	1.134311387431807816e-04	4.682444341597147286e-06	1.400000043459671638e-17
2.800000000000000000e+01	1.133246478275395930e-04	4.676935532188508660e-06	1.400000043459671638e-17
2.900000000000000000e+01	1.132184770540334284e-04	4.671426722779870033e-06	1.400000043459671638e-17
3.000000000000000000e+01	1.131122116930782795e-04	4.665923370339442044e-06	1.400000043459671638e-17
3.100000000000000000e+01	1.130070450017228723e-04	4.660496415453962982e-06	1.400000043459671638e-17
3.200000000000000000e+01	1.129039083025418222e-04	4.655291377275716513e-06	1.400000043459671638e-17
3.300000000000000000e+01	1.127998039009980857e-04	4.650090431823628023e-06	1.400000043459671638e-17
3.400000000000000000e+01	1.126951756305061281e-04	4.644890850613592193e-06	1.400000043459671638e-17
3.500000000000000000e+01	1.125909038819372654e-04	4.639804501493927091e-06	1.400000043459671638e-17
3.600000000000000000e+01	1.124878690461628139e-04	4.634887318388791755e-06	1.400000043459671638e-17
3.700000000000000000e+01	1.123840338550508022e-04	4.629973318515112624e-06	1.400000043459671638e-17
3.800000000000000000e+01	1.122789690271019936e-04	4.625062956620240584e-06	1.400000043459671638e-17
3.900000000000000000e+01	1.121751702157780528e-04	4.620278559741564095e-06	1.400000043459671638e-17
4.000000000000000000e+01	1.120724409702233970e-04	4.615617399394977838e-06	1.400000043459671638e-17
4.100000000000000000e+01	1.119684238801710308e-04	4.610954874806338921e-06	1.400000043459671638e-17
4.200000000000000000e+01	1.118638392654247582e-04	4.606297352438559756e-06	1.400000043459671638e-17
4.300000000000000000e+01	1.117604333558119833e-04	4.601778528012800962e-06	1.400000043459671638e-17
4.400000000000000000e+01	1.116581697715446353e-04	4.597342467604903504e-06	1.400000043459671638e-17
4.500000000000000000e+01	1.115565246436744928e-04	4.592906407197006047e-06	1.400000043459671638e-17
4.600000000000000000e+01	1.114554252126254141e-04	4.588473984767915681e-06	1.400000043459671638e-17
4.700000000000000000e+01	1.113570469897240400e-04	4.584188445733161643e-06	1.400000043459671638e-17
4.800000000000000000e+01	1.112606405513361096e-04	4.579954747896408662e-06	1.400000043459671638e-17
4.900000000000000000e+01	1.111655801651068032e-04	4.575723323796410114e-06	1.400000043459671638e-17
5.000000000000000000e+01	1.110719967982731760e-04	4.571493263938464224e-06	1.400000043459671638e-17
5.100000000000000000e+01	1.109824297600425780e-04	4.567485575535101816e-06	1.400000043459671638e-17
5.200000000000000000e+01	1.108954529627226293e-04	4.563517904898617417e-06	1.400000043459671638e-17
5.300000000000000000e+01	1.108101350837387145e-04	4.559554781735641882e-06	1.400000043459671638e-17
5.400000000000000000e+01	1.107260104618035257e-04	4.555592568067368120e-06	1.400000043459671638e-17
5.500000000000000000e+01	1.106459239963442087e-04	4.551865004032151774e-06	1.400000043459671638e-17
5.600000000000000000e+01	1.105672999983653426e-04	4.548155175143619999e-06	1.400000043459671638e-17
5.700000000000000000e+01	1.104898619814775884e-04	4.544447165244491771e-06	1.400000043459671638e-17
5.800000000000000000e+01	1.104139082599431276e-04	4.540745976555626839e-06	1.400000043459671638e-17
5.900000000000000000e+01	1.103412359952926636e-04	4.537276254268363118e-06	1.400000043459671638e-17
6.000000000000000000e+01	1.102693568100221455e-04	4.533808350970502943e-06	1.400000043459671638e-17
6.100000000000000000e+01	1.101980888051912189e-04	4.530343630904098973e-06	1.400000043459671638e-17
6.200000000000000000e+01	1.101275483961217105e-04	4.526900283963186666e-06	1.400000043459671638e-17
6.300000000000000000e+01	1.100602894439361989e-04	4.523643383436137810e-06	1.400000043459671638e-17
6.400000000000000000e+01	1.099935907404869795e-04	4.520390120887896046e-06	1.400000043459671638e-17
6.500000000000000000e+01	1.099273213185369968e-04	4.517136858339654282e-06	1.400000043459671638e-17
6.600000000000000000e+01	1.098618158721365035e-04	4.513917247095378116e-06	1.400000043459671638e-17
6.700000000000000000e+01	1.097982531064189970e-04	4.510849976213648915e-06	1.400000043459671638e-17
6.800000000000000000e+01	1.097353597288019955e-04	4.507786343310726807e-06	1.400000043459671638e-17
6.900000000000000000e+01	1.096898631658405066e-04	4.504723165155155584e-06	1.400000043459671638e-17
7.000000000000000000e+01	1.096449777833186090e-04	4.501701369008515030e-06	1.400000043459671638e-17
7.100000000000000000e+01	1.096033374778926373e-04	4.498806447372771800e-06	1.400000043459671638e-17
7.200000000000000000e+01	1.095635525416582823e-04	4.495911980484379455e-06	1.400000043459671638e-17
7.300000000000000000e+01	1.095252882805652916e-04	4.493021151574794203e-06	1.400000043459671638e-17
7.400000000000000000e+01	1.094899125746451318e-04	4.490191713557578623e-06	1.400000043459671638e-17
7.500000000000000000e+01	1.094580220524221659e-04	4.487520072871120647e-06	1.400000043459671638e-17
7.600000000000000000e+01	1.094282924896106124e-04	4.484847522689960897e-06	1.400000043459671638e-17
7.700000000000000000e+01	1.094013859983533621e-04	4.482177246245555580e-06	1.400000043459671638e-17
7.800000000000000000e+01	1.093774772016331553e-04	4.479578819882590324e-06	1.400000043459671638e-17
7.900000000000000000e+01	1.093580503948032856e-04	4.477121819945750758e-06	1.400000043459671638e-17
8.000000000000000000e+01	1.093422615667805076e-04	4.474665274756262079e-06	1.400000043459671638e-17
8.100000000000000000e+01	1.093299870262853801e-04	4.472211003303527832e-06	1.400000043459671638e-17
8.200000000000000000e+01	1.093218961614184082e-04	4.469831310416338965e-06	1.400000043459671638e-17
8.300000000000000000e+01	1.093191094696521759e-04	4.467578492040047422e-06	1.400000043459671638e-17
8.400000000000000000e+01	1.093202154152095318e-04	4.465325673663755879e-06	1.400000043459671638e-17
8.500000000000000000e+01	1.093256723834201694e-04	4.463075129024218768e-06	1.400000043459671638e-17
8.600000000000000000e+01	1.093358368962071836e-04	4.460895524971419945e-06	1.400000043459671638e-17
8.700000000000000000e+01	1.093517348635941744e-04	4.458823241293430328e-06	1.400000043459671638e-17
8.800000000000000000e+01	1.093723622034303844e-04	4.456752321857493371e-06	1.400000043459671638e-17
8.900000000000000000e+01	1.093970131478272378e-04	4.454681402421556413e-06	1.400000043459671638e-17
9.000000000000000000e+01	1.094260223908349872e-04	4.452676421351497993e-06	1.400000043459671638e-17
9.100000000000000000e+01	1.094592880690470338e-04	4.450764208741020411e-06	1.400000043459671638e-17
9.200000000000000000e+01	1.094950566766783595e-04	4.448852905625244603e-06	1.400000043459671638e-17
9.300000000000000000e+01	1.095329789677634835e-04	4.446941602509468794e-06	1.400000043459671638e-17
9.400000000000000000e+01	1.095723055186681449e-04	4.445092145033413544e-06	1.400000043459671638e-17
9.500000000000000000e+01	1.096115884138271213e-04	4.443323632585816085e-06	1.400000043459671638e-17
9.600000000000000000e+01	1.096482446882873774e-04	4.441556939127622172e-06	1.400000043459671638e-17
9.700000000000000000e+01	1.096804990083910525e-04	4.439790245669428259e-06	1.400000043459671638e-17
9.800000000000000000e+01	1.097085987566970289e-04	4.438103132997639477e-06	1.400000043459671638e-17
9.900000000000000000e+01	1.097313070204108953e-04	4.436519702721852809e-06	1.400000043459671638e-17
1.000000000000000000e+02	1.097478889278136194e-04	4.434937636688118801e-06	1.400000043459671638e-17
1.010000000000000000e+02	1.097577842301689088e-04	4.433355570654384792e-06	1.400000043459671638e-17
1.020000000000000000e+02	1.097617932828143239e-04	4.431851266417652369e-06	1.400000043459671638e-17
1.030000000000000000e+02	1.097600397770293057e-04	4.430450189829571173e-06	1.400000043459671638e-17
1.040000000000000000e+02	1.097515123547054827e-04	4.429049567988840863e-06	1.400000043459671638e-17
1.050000000000000000e+02	1.097363492590375245e-04	4.427650310390163213e-06	1.400000043459671638e-17
1.060000000000000000e+02	1.097161293728277087e-04	4.426320174388820305e-06	1.400000043459671638e-17
1.070000000000000000e+02	1.096917185350321233e-04	4.425091447046725079e-06	1.400000043459671638e-17
1.080000000000000000e+02	1.096622218028642237e-04	4.423862719704629853e-06	1.400000043459671638e-17
1.090000000000000000e+02	1.096283085644245148e-04	4.422635356604587287e-06	1.400000043459671638e-17
1.100000000000000000e+02	1.095910483854822814e-04	4.421466201165458187e-06	1.400000043459671638e-17
1.110000000000000000e+02	1.095515544875524938e-04	4.420390723680611700e-06	1.400000043459671638e-17
1.120000000000000000e+02	1.095096959033980966e-04	4.419315246195765212e-06	1.400000043459671638e-17
1.130000000000000000e+02	1.094669351004995406e-04	4.418240678205620497e-06	1.400000043459671638e-17
1.140000000000000000e+02	1.094240651582367718e-04	4.417213858687318861e-06	1.400000043459671638e-17
1.150000000000000000e+02	1.093823957489803433e-04	4.416272986418334767e-06	1.400000043459671638e-17
1.160000000000000000e+02	1.093413738999515772e-04	4.415332568896701559e-06	1.400000043459671638e-17
1.170000000000000000e+02	1.093007522285915911e-04	4.414392606122419238e-06	1.400000043459671638e-17
1.180000000000000000e+02	1.092618113034404814e-04	4.413490842125611380e-06	1.400000043459671638e-17
1.190000000000000000e+02	1.092245001927949488e-04	4.412672751641366631e-06	1.400000043459671638e-17
1.200000000000000000e+02	1.091882004402577877e-04	4.411854206409770995e-06	1.400000043459671638e-17
1.210000000000000000e+02	1.091522717615589499e-04	4.411036570672877133e-06	1.400000043459671638e-17
1.220000000000000000e+02	1.084651667042635381e-04	4.403118964546592906e-06	1.400000043459671638e-17
1.230000000000000000e+02	1.084240720956586301e-04	4.402999365993309766e-06	1.400000043459671638e-17
1.240000000000000000e+02	1.083827228285372257e-04	4.402879767440026626e-06	1.400000043459671638e-17
1.250000000000000000e+02	1.083411552826873958e-04	4.402760623634094372e-06	1.400000043459671638e-17
1.260000000000000000e+02	1.082996459444984794e-04	4.402734248287742957e-06	1.400000043459671638e-17
1.270000000000000000e+02	1.082583257812075317e-04	4.402718786877812818e-06	1.400000043459671638e-17
1.280000000000000000e+02	1.082171293091960251e-04	4.402703325467882678e-06	1.400000043459671638e-17
1.290000000000000000e+02	1.081761656678281724e-04	4.402687409310601652e-06	1.400000043459671638e-17
1.300000000000000000e+02	1.081366863218136132e-04	4.402774720801971853e-06	1.400000043459671638e-17
1.310000000000000000e+02	1.080977890524081886e-04	4.402888862387044355e-06	1.400000043459671638e-17
1.320000000000000000e+02	1.080592264770530164e-04	4.403002549224765971e-06	1.400000043459671638e-17
1.330000000000000000e+02	1.080201618606224656e-04	4.403116690809838474e-06	1.400000043459671638e-17
1.340000000000000000e+02	1.079823123291134834e-04	4.403319962875684723e-06	1.400000043459671638e-17
1.350000000000000000e+02	1.079456269508227706e-04	4.403564616950461641e-06	1.400000043459671638e-17
1.360000000000000000e+02	1.079096691682934761e-04	4.403809271025238559e-06	1.400000043459671638e-17
1.370000000000000000e+02	1.078738423530012369e-04	4.404053470352664590e-06	1.400000043459671638e-17
1.380000000000000000e+02	1.078390996553935111e-04	4.404368610266828910e-06	1.400000043459671638e-17
1.390000000000000000e+02	1.078054192475974560e-04	4.404736955621046945e-06	1.400000043459671638e-17
1.400000000000000000e+02	1.077726046787574887e-04	4.405105755722615868e-06	1.400000043459671638e-17
1.410000000000000000e+02	1.077394554158672690e-04	4.405474101076833904e-06	1.400000043459671638e-17
1.420000000000000000e+02	1.077070119208656251e-04	4.405891559144947678e-06	1.400000043459671638e-17
