swept_band,power_dBm,capacity_Tbps,snr_target_dB,nspans,span_km,band_selection,isolated_sweep,snr_metric
O,-4.0,158.7204325376,14.85761575285295,1,80.0,OESCL,True,mean_linear_dB
O,-3.6,160.892511584256,15.065440792698183,1,80.0,OESCL,True,mean_linear_dB
O,-3.2,162.885225414656,15.256042634426827,1,80.0,OESCL,True,mean_linear_dB
O,-2.8,164.671042617344,15.427224713784547,1,80.0,OESCL,True,mean_linear_dB
O,-2.4,165.71929985024,15.517020413557642,1,80.0,OESCL,True,mean_linear_dB
O,-2.0,166.8762566656,15.625900613174029,1,80.0,OESCL,True,mean_linear_dB
O,-1.5999999999999996,167.72400939008,15.705412564556626,1,80.0,OESCL,True,mean_linear_dB
O,-1.1999999999999997,168.230949748736,15.752798614486121,1,80.0,OESCL,True,mean_linear_dB
O,-0.7999999999999998,168.362617339904,15.765120053140782,1,80.0,OESCL,True,mean_linear_dB
O,-0.3999999999999999,168.08430010368,15.739471874864272,1,80.0,OESCL,True,mean_linear_dB
O,0.0,167.363668344832,15.673235010675324,1,80.0,OESCL,True,mean_linear_dB
O,0.40000000000000036,166.164248395776,15.563671993637724,1,80.0,OESCL,True,mean_linear_dB
O,0.8000000000000007,164.457787424768,15.40866172285497,1,80.0,OESCL,True,mean_linear_dB
O,1.2000000000000002,162.212324835328,15.206159187815127,1,80.0,OESCL,True,mean_linear_dB
O,1.6000000000000005,159.399121256448,14.954503399725628,1,80.0,OESCL,True,mean_linear_dB
O,2.0,155.996802514944,14.652857760199057,1,80.0,OESCL,True,mean_linear_dB
O,2.4000000000000004,151.982568374272,14.300711488686467,1,80.0,OESCL,True,mean_linear_dB
O,2.8000000000000007,147.327494914048,13.897821432047948,1,80.0,OESCL,True,mean_linear_dB
O,3.2,141.906189221888,13.440554502884545,1,80.0,OESCL,True,mean_linear_dB
O,3.6000000000000005,122.89738539008,12.744850832099264,1,80.0,OESCL,True,mean_linear_dB
O,4.0,100.9315217408,11.68017200455064,1,80.0,OESCL,True,mean_linear_dB
E,-4.0,94.765752254464,17.204146444379035,1,80.0,OESCL,True,mean_linear_dB
E,-3.6,95.247459680256,17.29287096419168,1,80.0,OESCL,True,mean_linear_dB
E,-3.2,95.687643496448,17.373879318419615,1,80.0,OESCL,True,mean_linear_dB
E,-2.8,96.082184896512,17.44643107553745,1,80.0,OESCL,True,mean_linear_dB
E,-2.4,96.430807056384,17.510458223518153,1,80.0,OESCL,True,mean_linear_dB
E,-2.0,96.73180708864,17.565634684109504,1,80.0,OESCL,True,mean_linear_dB
E,-1.5999999999999996,96.98128429056,17.61121979925848,1,80.0,OESCL,True,mean_linear_dB
E,-1.1999999999999997,97.172435501056,17.645921217272555,1,80.0,OESCL,True,mean_linear_dB
E,-0.7999999999999998,97.299397083136,17.668667390869913,1,80.0,OESCL,True,mean_linear_dB
E,-0.3999999999999999,97.37357754368,17.681743779797458,1,80.0,OESCL,True,mean_linear_dB
E,0.0,97.385044770816,17.68328557415053,1,80.0,OESCL,True,mean_linear_dB
E,0.40000000000000036,97.183374245888,17.644641661268732,1,80.0,OESCL,True,mean_linear_dB
E,0.8000000000000007,96.769018953728,17.567528334700174,1,80.0,OESCL,True,mean_linear_dB
E,1.2000000000000002,95.83934308352,17.40129815260406,1,80.0,OESCL,True,mean_linear_dB
E,1.6000000000000005,94.563419029504,17.18175985231654,1,80.0,OESCL,True,mean_linear_dB
E,2.0,93.060180475904,16.928307820953332,1,80.0,OESCL,True,mean_linear_dB
E,2.4000000000000004,91.302272172032,16.635966808101884,1,80.0,OESCL,True,mean_linear_dB
E,2.8000000000000007,89.293762592768,16.305130762424213,1,80.0,OESCL,True,mean_linear_dB
E,3.2,87.712937803776,16.044993723402076,1,80.0,OESCL,True,mean_linear_dB
E,3.6000000000000005,86.366733991936,15.823953656904306,1,80.0,OESCL,True,mean_linear_dB
E,4.0,94.896832643072,17.219267637238726,1,80.0,OESCL,True,mean_linear_dB
S,-4.0,89.731454992384,18.704420211482393,1,80.0,OESCL,True,mean_linear_dB
S,-3.6,90.13815148544,18.790209647232572,1,80.0,OESCL,True,mean_linear_dB
S,-3.2,90.49940688896,18.866342966199138,1,80.0,OESCL,True,mean_linear_dB
S,-2.8,90.811219836928,18.931962703740528,1,80.0,OESCL,True,mean_linear_dB
S,-2.4,91.066803945472,18.985618485947,1,80.0,OESCL,True,mean_linear_dB
S,-2.0,91.2542138368,19.02474956692632,1,80.0,OESCL,True,mean_linear_dB
S,-1.5999999999999996,91.352301830144,19.04484304687058,1,80.0,OESCL,True,mean_linear_dB
S,-1.1999999999999997,91.319804362752,19.037182093808287,1,80.0,OESCL,True,mean_linear_dB
S,-0.7999999999999998,91.066543898624,18.983137230254115,1,80.0,OESCL,True,mean_linear_dB
S,-0.3999999999999999,92.265552805888,19.23884338120335,1,80.0,OESCL,True,mean_linear_dB
S,0.0,92.33793810432,19.253926603430756,1,80.0,OESCL,True,mean_linear_dB
S,0.40000000000000036,92.35979042816,19.258308526418972,1,80.0,OESCL,True,mean_linear_dB
S,0.8000000000000007,92.325799788544,19.250860994871783,1,80.0,OESCL,True,mean_linear_dB
S,1.2000000000000002,92.229381128192,19.23018442984329,1,80.0,OESCL,True,mean_linear_dB
S,1.6000000000000005,92.06254010368,19.19459086424922,1,80.0,OESCL,True,mean_linear_dB
S,2.0,91.81574725632,19.14206313369239,1,80.0,OESCL,True,mean_linear_dB
S,2.4000000000000004,91.477594079232,19.070210977766614,1,80.0,OESCL,True,mean_linear_dB
S,2.8000000000000007,91.034927235072,18.97629188376483,1,80.0,OESCL,True,mean_linear_dB
S,3.2,90.472722726912,18.857202566483778,1,80.0,OESCL,True,mean_linear_dB
S,3.6000000000000005,89.774094286848,18.709515932298206,1,80.0,OESCL,True,mean_linear_dB
S,4.0,88.920620531712,18.529582471670835,1,80.0,OESCL,True,mean_linear_dB
C,-4.0,63.496943304704,22.0970232463832,1,80.0,OESCL,True,mean_linear_dB
C,-3.6,63.746529558528,22.184479375862246,1,80.0,OESCL,True,mean_linear_dB
C,-3.2,63.963622539264,22.260532133978963,1,80.0,OESCL,True,mean_linear_dB
C,-2.8,64.14491713536,22.324023146833532,1,80.0,OESCL,True,mean_linear_dB
C,-2.4,64.28544729088,22.37321606581493,1,80.0,OESCL,True,mean_linear_dB
C,-2.0,64.377877168128,22.405538184708913,1,80.0,OESCL,True,mean_linear_dB
C,-1.5999999999999996,64.410999586816,22.417066343850628,1,80.0,OESCL,True,mean_linear_dB
C,-1.1999999999999997,64.767188271104,22.542057526030575,1,80.0,OESCL,True,mean_linear_dB
C,-0.7999999999999998,64.912005005312,22.592795640801175,1,80.0,OESCL,True,mean_linear_dB
C,-0.3999999999999999,64.944879960064,22.604293793117556,1,80.0,OESCL,True,mean_linear_dB
C,0.0,64.938588504064,22.60207398302228,1,80.0,OESCL,True,mean_linear_dB
C,0.40000000000000036,64.888869224448,22.584641840663828,1,80.0,OESCL,True,mean_linear_dB
C,0.8000000000000007,64.79058829312,22.550203555099312,1,80.0,OESCL,True,mean_linear_dB
C,1.2000000000000002,64.637718495232,22.49665044504269,1,80.0,OESCL,True,mean_linear_dB
C,1.6000000000000005,64.423284703232,22.421547252484714,1,80.0,OESCL,True,mean_linear_dB
C,2.0,64.13935968256,22.32211966955147,1,80.0,OESCL,True,mean_linear_dB
C,2.4000000000000004,63.777127006208,22.195303332907482,1,80.0,OESCL,True,mean_linear_dB
C,2.8000000000000007,63.327103352832,22.037787751359737,1,80.0,OESCL,True,mean_linear_dB
C,3.2,62.779205615616,21.84608176271039,1,80.0,OESCL,True,mean_linear_dB
C,3.6000000000000005,62.12317872128,21.616635943565857,1,80.0,OESCL,True,mean_linear_dB
C,4.0,61.349019254784,21.346019398704147,1,80.0,OESCL,True,mean_linear_dB
L,-4.0,80.9672638464,20.774890563780318,1,80.0,OESCL,True,mean_linear_dB
L,-3.6,81.260177260544,20.8507215992146,1,80.0,OESCL,True,mean_linear_dB
L,-3.2,81.50509944832,20.914130256555147,1,80.0,OESCL,True,mean_linear_dB
L,-2.8,81.946935820288,21.028525419451988,1,80.0,OESCL,True,mean_linear_dB
L,-2.4,82.186095034368,21.0904409850353,1,80.0,OESCL,True,mean_linear_dB
L,-2.0,82.394535165952,21.144404860608713,1,80.0,OESCL,True,mean_linear_dB
L,-1.5999999999999996,82.571316690944,21.19017510562745,1,80.0,OESCL,True,mean_linear_dB
L,-1.1999999999999997,82.71507226624,21.22739705231119,1,80.0,OESCL,True,mean_linear_dB
L,-0.7999999999999998,82.82370473984,21.25552938517126,1,80.0,OESCL,True,mean_linear_dB
L,-0.3999999999999999,82.894580088832,21.27388817498247,1,80.0,OESCL,True,mean_linear_dB
L,0.0,82.924183486464,21.281564447006236,1,80.0,OESCL,True,mean_linear_dB
L,0.40000000000000036,82.908060581888,21.277404076664613,1,80.0,OESCL,True,mean_linear_dB
L,0.8000000000000007,82.840557453312,21.259941804262105,1,80.0,OESCL,True,mean_linear_dB
L,1.2000000000000002,82.714770276352,21.227390558369983,1,80.0,OESCL,True,mean_linear_dB
L,1.6000000000000005,82.522285277184,21.177572593698994,1,80.0,OESCL,True,mean_linear_dB
L,2.0,82.253036126208,21.10788469047163,1,80.0,OESCL,True,mean_linear_dB
L,2.4000000000000004,81.895027113984,21.01523366816388,1,80.0,OESCL,True,mean_linear_dB
L,2.8000000000000007,81.434442203136,20.896060209098675,1,80.0,OESCL,True,mean_linear_dB
L,3.2,80.855368204288,20.746287632610386,1,80.0,OESCL,True,mean_linear_dB
L,3.6000000000000005,80.139987714048,20.561376442325184,1,80.0,OESCL,True,mean_linear_dB
L,4.0,79.268788830208,20.336403919283356,1,80.0,OESCL,True,mean_linear_dB
