Att	Att_bar	Cr
6.93878160164681e-05	5.53921139170425e-05	3.22197039709008e-17
6.94158831531609e-05	5.61202136889334e-05	3.24268629323689e-17
6.94445529980143e-05	5.68559730180644e-05	3.26297342277019e-17
6.94738082461149e-05	5.75994069027941e-05	3.28268359393098e-17
6.95034955931077e-05	5.83507421809352e-05	3.30146672167502e-17
6.95335598570242e-05	5.91102467791333e-05	3.31909747266184e-17
6.95637903904974e-05	5.9878443739556e-05	3.33509230307442e-17
6.95940532723758e-05	6.06558866423901e-05	3.34904032542344e-17
6.96242118684175e-05	6.14431911031998e-05	3.36047301800948e-17
6.96546608541445e-05	6.22408455452768e-05	3.36905089752864e-17
6.96881645278239e-05	6.30494041998663e-05	3.37430980604857e-17
6.97215954346611e-05	6.38690049870666e-05	3.3760076426259e-17
6.97556222275712e-05	6.46994337396348e-05	3.37423080439574e-17
6.97911145604041e-05	6.55400647221139e-05	3.36948193029369e-17
6.9828074260129e-05	6.63899379439696e-05	3.36278525984958e-17
6.98672286880344e-05	6.72481566623262e-05	3.35543420493414e-17
6.99091245987298e-05	6.81131907279646e-05	3.34849748358401e-17
6.99537342177149e-05	6.89875141740879e-05	3.34225666188688e-17
7.00009948619512e-05	6.98703203156987e-05	3.33654408235359e-17
7.00507002893233e-05	7.07614174754204e-05	3.33083561320157e-17
7.01025359151249e-05	7.16636447844773e-05	3.32450610547671e-17
7.01566817647764e-05	7.25720348563372e-05	3.31746696260264e-17
7.02130608466497e-05	7.34878694532208e-05	3.30955289839159e-17
7.02716355155778e-05	7.44123911277622e-05	3.30067182829307e-17
7.03324627244661e-05	7.53457922147082e-05	3.29093458402191e-17
7.03956352297185e-05	7.6286973455559e-05	3.28051611292539e-17
7.04622676146203e-05	7.72380610480748e-05	3.26936211782491e-17
7.05336487747623e-05	7.81973057516916e-05	3.25770379497606e-17
7.06074001373602e-05	7.91655460249296e-05	3.24562441046919e-17
7.06840716009266e-05	8.0146978399716e-05	3.23302333504382e-17
7.07637532941818e-05	8.11371037287116e-05	3.22016820721335e-17
7.08457975259061e-05	8.21357576470192e-05	3.20715517245197e-17
7.09301054345372e-05	8.31472195895268e-05	3.19391494716684e-17
7.10166763719262e-05	8.41704140240793e-05	3.18055344253641e-17
7.11055151094144e-05	8.52042403687658e-05	3.16732827606263e-17
7.11965777665704e-05	8.62479558473734e-05	3.15431614837069e-17
7.12897669560483e-05	8.73066507087322e-05	3.14141054761342e-17
7.13850439349204e-05	8.83796141192924e-05	3.12864771543325e-17
7.14823708152251e-05	8.94668515143877e-05	3.11617892745458e-17
7.15816788708892e-05	9.05714673822996e-05	3.10390910104895e-17
7.16829133696429e-05	9.16977027018331e-05	3.09171010520442e-17
7.17860493866366e-05	9.28431806106222e-05	3.07985831082206e-17
7.18910321466899e-05	9.40097943813323e-05	3.06830955002972e-17
7.19988291629019e-05	9.52020795373018e-05	3.05698383569933e-17
7.21108184055092e-05	9.64241034618126e-05	3.04591051452276e-17
7.2224550426516e-05	9.76755536031115e-05	3.03527556905603e-17
7.23406407204911e-05	9.89592841469759e-05	3.02509868599861e-17
7.24592983183638e-05	0.00010028236887757	3.01526771521013e-17
7.25796582134286e-05	0.000101649506478406	3.00578848030065e-17
7.27016779514729e-05	0.000103060661537872	2.9969195056032e-17
7.28253532923384e-05	0.000104521028616582	2.98876348040306e-17
7.29507061101786e-05	0.000106038314104471	2.98130607009395e-17
7.30777304756589e-05	0.000107617279598833	2.97469806356512e-17
7.3206441383049e-05	0.000109264745795571	2.96910387118985e-17
7.33368592781412e-05	0.000110988869705204	2.96447199331896e-17
7.34690292979236e-05	0.000112799609179944	2.96089073979813e-17
7.36029091159997e-05	0.000114700571320593	2.95883677805596e-17
7.37385816755336e-05	0.000116706749529607	2.95814946140292e-17
